ÀÏÀÚ,±¸ºÐ,°è,05½Ã,06½Ã,07½Ã,08½Ã,09½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,01½Ã,02½Ã,03½Ã,04½Ã
2019.01.14,ÇÏÂ÷,"203,247",992,"4,974","13,190","24,057","11,289","7,460","7,150","8,049","9,318","8,738","9,165","10,158","13,285","22,346","18,324","11,210","9,169","7,522","4,602","2,175",65,1,0,8
2019.01.15,½ÂÂ÷,"210,066","3,405","8,594","23,466","22,257","10,951","8,106","8,288","9,311","9,690","9,089","10,325","11,574","16,728","21,902","10,719","9,384","7,882","5,443","2,317",619,4,1,0,11
2019.01.15,ÇÏÂ÷,"207,044",850,"5,051","12,977","24,550","11,440","7,347","7,314","8,119","9,599","8,651","9,549","10,614","13,534","22,476","18,280","11,376","9,657","8,233","4,950","2,405",68,2,0,2
2019.01.16,½ÂÂ÷,"211,877","3,310","8,405","23,384","22,056","10,680","8,222","8,562","9,639","9,684","9,106","10,436","11,537","18,051","22,661","10,598","8,788","7,608","5,874","2,604",653,8,0,0,11
2019.01.16,ÇÏÂ÷,"209,318",896,"4,907","12,868","24,793","11,056","7,286","7,540","8,262","9,467","9,084","9,461","10,624","14,008","23,880","18,384","11,162","9,214","8,425","5,360","2,559",79,1,0,2
2019.01.17,½ÂÂ÷,"216,088","3,370","8,463","23,671","22,445","11,411","8,287","8,735","9,799","10,095","9,462","10,654","12,181","17,301","22,067","10,891","9,675","8,101","6,031","2,757",678,7,2,0,5
2019.01.17,ÇÏÂ÷,"212,950",897,"4,967","13,095","24,904","11,637","7,528","7,755","8,689","9,843","9,313","9,759","11,144","13,655","22,977","18,124","11,484","9,942","8,813","5,621","2,714",89,0,0,0
2019.01.18,½ÂÂ÷,"224,441","3,306","8,401","22,824","21,920","11,104","8,310","9,197","10,122","10,594","10,082","11,511","13,114","18,722","23,858","12,109","9,967","8,314","6,478","3,502",981,8,0,0,17
2019.01.18,ÇÏÂ÷,"221,442",893,"4,951","12,922","24,256","11,668","7,544","7,813","8,881","10,279","9,576","10,532","11,729","15,126","24,491","19,606","11,995","10,094","8,945","6,348","3,654",136,0,0,3
2019.01.19,½ÂÂ÷,"171,283","2,571","4,098","6,414","8,924","9,195","9,280","11,161","12,110","12,131","11,703","12,338","13,546","14,377","11,341","8,304","7,389","6,986","5,693","2,859",844,11,0,0,8
2019.01.19,ÇÏÂ÷,"169,851",735,"3,566","5,072","7,028","8,270","7,526","9,258","10,680","11,654","11,304","11,475","12,308","14,004","14,069","10,294","8,265","8,028","7,774","5,485","2,972",80,3,0,1
2019.01.20,½ÂÂ÷,"124,284","1,848","2,514","3,265","5,447","7,208","7,025","7,742","8,683","9,294","9,237","9,757","9,854","9,346","8,382","6,617","6,117","5,629","4,123","1,750",420,7,0,0,19
2019.01.20,ÇÏÂ÷,"123,879",590,"2,287","2,471","3,679","6,027","6,176","6,461","7,558","8,874","8,906","9,397","9,769","9,863","9,662","8,085","6,678","6,521","5,692","3,592","1,557",29,0,0,5
2019.01.21,½ÂÂ÷,"207,747","3,568","8,883","23,441","21,328","10,892","8,190","8,651","9,432","9,726","8,963","10,370","11,426","16,282","21,487","10,673","9,324","7,340","4,846","2,345",564,6,0,0,10
2019.01.21,ÇÏÂ÷,"204,827",951,"4,977","13,071","24,181","11,187","7,395","7,792","8,364","9,518","8,998","9,570","10,480","12,853","22,078","18,481","11,492","9,129","7,539","4,554","2,158",56,1,0,2
2019.01.22,½ÂÂ÷,"211,587","3,353","8,652","23,647","22,291","11,290","8,205","8,599","9,374","9,850","9,138","10,445","11,590","17,458","21,342","10,654","9,666","7,723","5,265","2,343",687,5,2,0,8
2019.01.22,ÇÏÂ÷,"209,248",917,"4,999","13,096","24,923","11,382","7,594","7,660","8,608","9,503","9,083","9,753","10,631","13,863","22,188","18,300","11,779","9,714","8,019","4,784","2,394",57,1,0,0
2019.01.23,½ÂÂ÷,"214,099","3,374","8,580","23,466","22,261","11,147","8,247","8,474","9,822","10,016","9,412","10,621","11,924","18,040","22,371","10,829","9,182","7,594","5,474","2,591",666,5,0,0,3
2019.01.23,ÇÏÂ÷,"211,489",906,"4,905","12,996","24,773","11,401","7,448","7,529","8,513","10,056","9,057","9,639","10,943","14,015","23,596","18,699","11,409","9,460","8,277","5,249","2,540",78,0,0,0
2019.01.24,½ÂÂ÷,"212,782","3,414","8,460","23,384","22,151","10,950","8,109","8,618","9,385","10,030","9,531","10,461","12,059","17,047","21,778","10,921","9,677","7,778","5,603","2,649",755,8,0,0,14
2019.01.24,ÇÏÂ÷,"210,361",886,"5,038","13,049","24,366","11,516","7,414","7,567","8,267","9,750","9,340","9,465","10,761","13,937","22,593","18,047","11,514","9,889","8,437","5,486","2,946",90,0,0,3
2019.01.25,½ÂÂ÷,"222,128","3,360","8,392","22,828","22,011","11,094","8,536","8,906","9,582","10,455","10,212","11,163","12,748","18,419","23,505","12,114","10,075","8,384","6,128","3,104","1,090",12,1,0,9
2019.01.25,ÇÏÂ÷,"218,786",936,"4,936","12,833","23,977","11,446","7,563","7,833","8,541","10,227","9,808","10,211","11,284","14,829","24,046","19,389","12,083","10,327","8,677","6,004","3,726",109,1,0,0
2019.01.26,½ÂÂ÷,"171,059","2,580","4,011","6,614","9,101","9,514","9,285","10,996","12,043","12,183","11,752","12,507","13,081","14,298","11,534","8,184","7,305","6,842","5,616","2,773",826,3,0,0,11
2019.01.26,ÇÏÂ÷,"169,496",767,"3,600","5,149","7,259","8,742","7,618","9,131","10,651","11,365","11,267","11,503","11,979","13,965","13,846","10,419","8,014","8,047","7,799","5,423","2,877",71,0,0,4
2019.01.27,½ÂÂ÷,"123,786","1,642","2,466","3,293","5,752","7,240","7,051","7,504","8,925","9,516","9,203","9,824","9,647","9,339","8,129","6,501","6,039","5,418","4,010","1,741",525,10,0,0,11
2019.01.27,ÇÏÂ÷,"122,369",474,"2,219","2,431","3,783","5,882","6,035","6,094","7,499","8,790","9,217","9,507","9,702","9,688","9,329","7,734","6,710","6,239","5,793","3,514","1,682",44,0,0,3
2019.01.28,½ÂÂ÷,"211,804","3,533","9,045","23,644","21,685","11,116","8,658","8,764","9,698","10,188","9,213","10,657","11,567","16,302","21,582","10,997","9,469","7,501","5,189","2,382",602,6,0,0,6
2019.01.28,ÇÏÂ÷,"209,641",922,"5,008","13,312","24,404","11,399","8,071","7,713","8,505","9,967","9,398","9,801","10,230","13,386","22,822","18,407","11,623","9,804","7,700","4,863","2,234",72,0,0,0
2019.01.29,½ÂÂ÷,"212,367","3,393","8,623","23,658","22,338","11,093","8,022","8,546","9,463","10,179","9,350","10,731","11,869","16,562","21,507","10,726","9,773","7,652","5,664","2,559",638,8,0,0,13
2019.01.29,ÇÏÂ÷,"209,211",891,"4,991","13,101","24,805","11,483","7,517","7,511","8,186","9,885","9,315","9,627","10,815","13,322","22,322","18,002","11,342","9,957","8,394","5,200","2,471",67,0,0,7
2019.01.30,½ÂÂ÷,"215,816","3,431","8,432","23,659","22,550","11,212","8,202","8,326","9,768","9,838","9,569","10,929","12,161","18,421","21,428","10,915","9,543","7,869","5,826","2,928",786,9,2,0,12
2019.01.30,ÇÏÂ÷,"212,660",904,"4,988","12,967","25,255","11,434","7,731","7,526","8,603","9,410","9,369","9,978","11,098","14,399","22,754","18,345","11,195","9,742","8,614","5,528","2,729",87,0,0,4
2019.01.31,½ÂÂ÷,"212,288","3,281","8,454","22,998","21,959","11,035","8,256","8,637","9,900","10,037","9,414","10,672","11,728","16,721","21,371","10,813","9,793","7,930","5,878","2,704",690,3,2,0,12
2019.01.31,ÇÏÂ÷,"208,860",866,"4,959","12,783","24,289","11,383","7,849","7,788","8,612","10,009","9,369","9,597","10,456","13,410","21,727","17,634","11,374","10,022","8,359","5,555","2,744",70,0,0,5
2019.02.01,½ÂÂ÷,"217,441","3,134","7,992","21,653","20,679","10,519","8,180","8,670","10,181","11,037","11,189","13,524","14,514","18,515","20,134","10,954","8,877","7,213","6,342","3,138",962,11,3,0,20
2019.02.01,ÇÏÂ÷,"214,422",867,"4,682","12,218","22,756","10,782","7,301","7,543","8,792","10,811","10,543","11,897","13,789","16,534","22,873","16,941","10,488","8,656","8,099","5,583","3,131",121,3,0,12
2019.02.02,½ÂÂ÷,"150,386","2,056","3,383","5,327","7,552","8,238","8,198","9,704","10,863","11,423","11,056","11,253","11,797","11,401","9,797","7,304","6,601","5,976","5,033","2,661",744,1,1,0,17
2019.02.02,ÇÏÂ÷,"148,572",641,"2,708","4,019","6,023","7,545","6,953","8,156","9,488","10,909","10,800","10,765","11,276","11,243","11,441","8,916","7,064","6,936","6,483","4,668","2,479",55,0,0,4
2019.02.03,½ÂÂ÷,"101,662","1,343","2,104","2,819","4,424","5,647","5,581","5,907","7,038","7,568","7,500","7,845","8,231","7,990","6,829","4,955","4,870","4,707","3,866","1,849",569,6,1,0,13
2019.02.03,ÇÏÂ÷,"100,533",419,"1,791","2,135","3,190","4,753","5,009","5,175","5,913","7,335","7,193","7,637","7,864","8,067","7,617","6,060","5,134","5,314","4,829","3,376","1,655",57,4,0,6
2019.02.04,½ÂÂ÷,"90,685","1,287","1,855","2,518","3,551","4,512","5,195","6,253","6,592","6,949","7,063","7,121","7,257","6,978","6,047","4,816","3,957","3,934","2,984","1,367",431,3,2,0,13
2019.02.04,ÇÏÂ÷,"91,574",375,"1,554","2,025","2,794","3,939","4,450","5,457","6,104","6,846","7,120","7,014","7,457","7,329","7,039","5,594","4,452","4,204","3,842","2,601","1,345",27,2,0,4
2019.02.05,½ÂÂ÷,"94,700","1,118","1,845","2,688","3,136","3,416","5,581","7,436","8,291","7,875","7,367","7,247","6,999","6,530","5,767","4,834","4,220","3,900","3,279","2,046",960,155,4,0,6
2019.02.05,ÇÏÂ÷,"93,566",301,"1,372","2,216","2,967","3,208","4,447","6,662","7,832","7,594","7,260","7,035","6,599","6,912","6,352","5,280","4,619","4,001","3,899","2,906","1,846",249,7,0,2
2019.02.06,½ÂÂ÷,"115,078","1,226","1,688","2,390","3,607","5,043","5,464","7,018","8,086","9,056","9,458","9,615","10,005","9,312","8,230","6,609","6,008","5,573","4,045","2,037",547,43,4,0,14
2019.02.06,ÇÏÂ÷,"112,304",380,"1,353","1,708","2,586","4,335","4,444","5,732","6,973","8,556","8,645","8,988","9,476","9,552","8,734","7,378","6,318","6,179","5,536","3,641","1,665",116,6,0,3
2019.02.07,½ÂÂ÷,"203,147","3,084","7,928","20,778","19,621","10,200","7,917","8,490","9,894","10,456","9,969","10,961","11,796","16,331","21,169","10,592","8,843","7,093","5,134","2,277",590,14,3,0,7
2019.02.07,ÇÏÂ÷,"199,374",826,"4,291","11,400","21,622","10,161","7,174","7,495","8,613","10,104","9,727","10,322","10,893","13,095","21,408","17,769","11,050","8,920","7,407","4,841","2,185",69,2,0,0
2019.02.08,½ÂÂ÷,"210,878","3,101","7,938","21,497","20,632","10,279","7,606","8,266","9,352","10,192","9,772","11,111","12,351","17,732","22,399","11,594","9,425","7,674","5,816","3,188",930,2,2,0,19
2019.02.08,ÇÏÂ÷,"206,385",819,"4,585","11,770","22,644","10,527","6,936","7,098","8,243","9,906","9,204","10,206","11,134","14,135","22,283","18,816","11,498","9,373","8,049","5,764","3,276",110,2,0,7
2019.02.09,½ÂÂ÷,"165,658","2,495","3,911","6,353","8,806","8,920","8,709","10,640","11,695","11,985","11,437","11,816","12,825","13,730","11,172","8,072","7,289","6,869","5,471","2,703",741,8,3,0,8
2019.02.09,ÇÏÂ÷,"163,203",677,"3,415","4,910","7,322","7,989","7,061","8,336","10,212","11,147","11,131","11,123","11,986","13,166","13,239","10,061","8,035","7,846","7,591","5,228","2,672",55,1,0,0
2019.02.10,½ÂÂ÷,"119,960","1,696","2,423","3,128","5,452","6,483","6,538","7,093","8,571","9,330","8,810","9,152","9,976","9,457","8,077","6,558","5,845","5,330","3,845","1,719",457,5,2,0,13
2019.02.10,ÇÏÂ÷,"119,327",491,"2,196","2,288","3,639","5,635","5,724","5,933","7,147","8,954","8,965","9,060","9,624","9,592","9,123","7,663","6,496","6,373","5,553","3,312","1,512",39,1,0,7
2019.02.11,½ÂÂ÷,"214,698","3,567","9,081","24,308","21,765","10,750","8,385","8,636","9,692","10,331","9,506","10,983","11,941","17,125","21,953","11,351","9,661","7,625","5,045","2,378",598,7,1,0,9
2019.02.11,ÇÏÂ÷,"211,236",940,"5,067","13,470","24,510","11,019","7,604","7,645","8,531","10,044","9,322","9,863","11,227","13,893","22,722","19,017","12,068","9,524","7,791","4,748","2,159",67,2,0,3
2019.02.12,½ÂÂ÷,"218,469","3,456","8,791","23,924","22,649","11,315","8,612","9,089","10,186","10,646","9,962","11,099","12,413","17,147","21,762","11,149","9,746","7,875","5,560","2,467",608,3,2,0,8
2019.02.12,ÇÏÂ÷,"215,452",936,"5,037","13,300","25,078","11,777","8,176","8,085","8,477","10,519","9,783","9,977","11,254","13,995","22,784","18,667","11,858","9,795","8,399","5,078","2,421",54,0,0,2
2019.02.13,½ÂÂ÷,"220,125","3,384","8,535","23,814","22,900","11,331","8,648","8,990","9,944","10,418","9,652","11,321","12,692","18,406","22,669","11,202","9,476","7,812","5,708","2,578",624,3,0,0,18
2019.02.13,ÇÏÂ÷,"216,613",887,"5,033","13,054","25,568","11,388","7,807","7,908","8,805","10,213","9,495","10,240","11,307","14,375","23,941","18,836","11,775","9,702","8,567","5,305","2,320",78,0,0,9
2019.02.14,½ÂÂ÷,"221,513","3,391","8,552","23,253","22,518","11,632","8,880","9,098","10,510","10,634","10,031","11,133","12,337","17,338","22,593","11,556","9,997","8,399","6,093","2,850",704,3,2,0,9
2019.02.14,ÇÏÂ÷,"218,210",892,"4,991","12,963","24,810","11,828","7,970","8,024","9,267","10,328","9,712","10,265","11,113","14,127","22,937","18,875","12,268","10,179","8,913","5,828","2,841",70,3,0,6
2019.02.15,½ÂÂ÷,"247,729","3,311","8,557","25,830","29,352","15,785","9,715","9,597","10,488","11,111","10,457","12,116","13,630","18,989","25,320","12,646","10,389","9,016","6,789","3,515","1,102",4,2,0,8
2019.02.15,ÇÏÂ÷,"242,100",810,"5,020","13,900","30,239","15,941","9,569","8,392","9,370","10,852","10,125","10,683","12,221","15,378","26,116","20,527","12,542","10,583","9,363","6,468","3,869",125,6,0,1
2019.02.16,½ÂÂ÷,"178,800","2,675","4,116","6,885","9,706","9,665","9,654","11,826","12,537","12,893","12,314","12,996","13,899","14,704","11,901","8,681","7,749","7,129","5,690","2,917",846,6,0,0,11
2019.02.16,ÇÏÂ÷,"177,162",758,"3,540","5,221","7,790","8,475","7,659","9,564","10,977","12,099","12,175","12,146","13,137","14,430","14,466","10,936","8,774","8,372","7,887","5,731","2,959",65,1,0,0
2019.02.17,½ÂÂ÷,"127,823","1,810","2,371","3,466","5,816","7,286","7,225","8,150","8,866","9,530","9,236","9,777","10,114","9,918","8,638","7,026","6,275","5,658","4,305","1,849",494,8,0,0,5
2019.02.17,ÇÏÂ÷,"127,282",550,"2,286","2,520","4,078","6,028","6,261","6,583","7,586","8,979","9,072","9,333","10,304","10,414","10,081","8,469","6,962","6,472","5,962","3,682","1,615",43,2,0,0
2019.02.18,½ÂÂ÷,"217,146","3,582","9,046","24,169","22,061","11,481","8,781","9,295","10,078","9,735","9,800","10,841","12,610","17,044","21,630","11,093","9,629","7,914","5,310","2,421",607,6,2,0,11
2019.02.18,ÇÏÂ÷,"213,919",916,"5,090","13,583","24,782","11,865","7,850","8,077","9,007","9,232","9,521","10,174","11,305","14,132","22,621","18,909","11,880","9,844","7,845","4,876","2,353",51,1,0,5
2019.02.19,½ÂÂ÷,"224,515","3,691","9,970","26,288","24,741","12,481","8,598","9,105","9,402","9,585","9,036","10,388","12,261","17,502","22,720","11,345","10,145","8,164","5,842","2,553",671,12,1,0,14
2019.02.19,ÇÏÂ÷,"220,304",874,"5,416","14,908","27,494","13,393","8,052","7,858","8,421","9,597","8,940","9,337","11,161","13,950","23,387","18,939","12,142","10,140","8,454","5,358","2,414",66,0,0,3
2019.02.20,½ÂÂ÷,"222,302","3,451","8,722","23,965","23,283","11,657","8,776","9,648","10,216","10,142","9,565","11,296","12,329","18,454","22,664","11,378","9,336","7,930","5,916","2,822",726,8,0,0,18
2019.02.20,ÇÏÂ÷,"219,222",907,"5,056","13,471","25,697","12,346","7,775","8,127","8,805","9,911","9,505","10,209","11,402","14,569","23,882","18,947","11,573","9,786","8,900","5,608","2,662",78,0,0,6
2019.02.21,½ÂÂ÷,"219,870","3,493","8,681","23,821","22,974","11,695","8,783","9,134","9,762","9,990","9,551","10,934","12,252","17,169","21,775","11,486","10,131","8,436","6,188","2,895",695,11,0,0,14
2019.02.21,ÇÏÂ÷,"217,434",922,"5,123","13,346","24,773","12,092","7,593","7,970","8,723","9,661","9,343","10,049","11,491","14,121","23,065","18,800","11,977","10,440","9,135","5,848","2,855",101,1,0,5
2019.02.22,½ÂÂ÷,"230,447","3,444","8,441","23,087","22,737","11,752","8,990","9,288","10,513","10,707","10,527","11,756","13,286","18,741","23,786","12,862","10,532","8,489","6,683","3,794",991,13,7,0,21
2019.02.22,ÇÏÂ÷,"227,098",906,"4,976","13,067","24,492","12,182","8,430","8,196","9,304","10,100","9,979","10,855","11,964","15,361","24,698","19,726","12,702","10,438","9,052","6,794","3,728",128,8,0,12
2019.02.23,½ÂÂ÷,"183,127","2,831","4,373","7,381","9,762","10,293","10,053","11,906","12,783","13,223","12,416","13,241","14,129","14,734","12,563","8,821","7,858","7,203","5,727","2,918",883,7,2,0,20
2019.02.23,ÇÏÂ÷,"181,660",804,"3,744","5,450","7,982","9,003","8,253","9,761","11,398","12,786","12,584","12,352","13,276","14,490","14,446","11,151","9,002","8,363","8,091","5,564","3,080",73,2,0,5
2019.02.24,½ÂÂ÷,"132,830","1,783","2,646","3,858","6,359","7,569","7,636","8,126","9,510","10,036","9,732","10,181","10,720","10,147","8,808","7,107","6,429","5,799","3,985","1,908",473,9,5,0,4
2019.02.24,ÇÏÂ÷,"132,578",511,"2,416","2,790","4,364","6,378","6,461","6,776","7,929","9,387","9,377","10,112","10,755","10,750","10,500","8,719","7,197","6,894","5,877","3,622","1,714",44,3,0,2
2019.02.25,½ÂÂ÷,"217,415","3,669","9,161","23,824","21,761","11,214","8,700","9,337","10,113","9,863","9,771","11,029","12,160","16,930","21,651","11,486","9,964","8,228","5,441","2,492",594,8,5,0,14
2019.02.25,ÇÏÂ÷,"214,178",979,"5,264","13,635","24,269","11,519","7,941","8,225","9,089","9,539","9,334","10,109","11,067","13,823","22,800","19,035","12,013","9,938","8,356","4,912","2,268",56,3,0,4
2019.02.26,½ÂÂ÷,"219,189","3,537","8,879","23,928","22,238","11,632","8,883","9,380","9,851","10,282","9,751","10,995","12,317","17,172","21,604","11,253","10,073","8,319","5,670","2,672",731,9,1,0,12
